name,latitude,longitude
Özler Et Lokantası,37.9440189,40.15844389999999
Fırın-ci,37.9459933,40.161745
Şehr-i Lezzet Diyarı,37.9330154,40.1641235
Doğan Sofra Salonu,37.9263879,40.1725234
Çiftlik Et Lokantası Diyarbakır,37.93123569999999,40.1533343
Hancı Et,37.9529669,40.1674254
Tek Kapı Ciğercisi,37.9533821,40.1758075
Tavacı Recep Usta KAPANDI,37.9472048,40.1780917
"Attor Diyarbakır Lahmacun, Pide ve Pizza Salonu",37.9288658,40.1337497
Hazrolu Mehm-et Lokantası,37.9151111,40.1300895
Paçacı Fazıl Usta,37.9476301,40.1793608
Siduri Catering & Restaurant,37.938427,40.1623678
Lezzet Durağı Diyarbakır,37.9223192,40.1690697
Kemikli Evi ( Avni Bey Konağı ),37.9120244,40.2375177
Etçi Restaurant Diyarbakir,37.9554128,40.1703715
Pınar Et Lokantası,37.9067611,40.2130729
Paçaçı Şaban Usta,37.9470096,40.1644851
Gökçe Lahmacun ve kilo işi kebap,37.9372798,40.1684649
Nasır Usta Adana Kebapçısı Diclekent Şubesi,37.942585,40.1829449
Mucize et lokanta,37.9249733,40.2109826
İS’LO kebap,37.9411843,40.15161519999999
LOQUM ET-STEAKHOUSE DİYARBAKIR,37.9265892,40.1518074
Onur Ocakbaşı,37.9133451,40.2374727
Yayla sofrası,37.9380427,40.1609658
Şafak Kahvaltı Sulu Yemek Kebap Lahmacun Pide Ve Kelle Paça Salonu,37.9153789,40.2344216
Ben û Sen Lahmacun Pide,37.9511559,40.1630162
Özler Et Lokantası,37.9066841,40.2099373
Tuana Et Lokantası,37.9281505,40.2046968
Özlem 2000 lokantası,37.924446,40.2066084
Keyf-i Ziyafet Ocakbasi,37.9130526,40.2357261
Kaburgacı Selim Amca,37.9156368,40.2313619
Loqum,37.9500488,40.165308
Özler Et Lokantası,37.9273679,40.2122598
Nokta Restaurant Diyarbakır,37.9496832,40.1766352
Diyarbakirevi Kahvaltı & Cafe,37.9108326,40.237857
Hayat Sofrası Lahmacun Pide Kebap Ciğer Döner Kahvaltı Çorba,37.9604017,40.1820452
Dedecan Ocakbaşı Diyarbakır,37.920351,40.2236204
Auken Lanmacun Ciğer & Sac Tava,37.9537266,40.1710406
Temaşa Restaurant,37.9365452,40.1554418
Esnaflar Lokantası,37.939583,40.2026017
Arbedaş ocakbaşı Tavacı Ve Ciğerci Ali usta,37.9362532,40.155423
Forum Diyarbakır Lezzet,37.9583527,40.1831
Paçacı Esat Usta Cadde 75,37.9301866,40.1520912
Diyarbakır sofrası,37.926912,40.157168
KİTEL EV YEMEKLERİ VE KAHVALTI EVİ,37.9513679,40.1742434
AZRA LAHMACUN & PİDE SALONU,37.9380479,40.1639551
Has Mangal Diyarbakır,37.9473488,40.18212159999999
Ziyafet Lahmacun DİYARBAKIR,37.951676,40.1749119
Mardin Kebap Evi,37.9152268,40.2174852
Emir Et Tava,37.9154051,40.2307721
Öz Sebat Lokanta,37.9245457,40.1964865
Diyarbakır Sofra Salonu,37.928844,40.208991
Enes Sofra Salonu,37.9265131,40.2007012
Meşhur Kebapçı Hacı Halid,37.9122722,40.2372011
Kebapçı Yusuf Usta,37.9590646,40.1752052
Babel Terrace75 Restoran&Bar&Cafe,37.9345669,40.155427
Tabier Lahmacun,37.9184688,40.231548
Diyarbakır Ceylankatavil Park Ciğerci Ma,37.92815,40.170839
Tavuk Dünyası 21 Diyarbakır,37.9447291,40.1589705
Gabo Kitchen,37.9186714,40.2220304
